@relation robocall-oneshot

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric	
@attribute sstandard_deviation numeric
@attribute svariance numeric	
@attribute srange numeric
@attribute sCV numeric 
@attribute sskewness numeric	
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric	
@attribute sfrequency_ratio numeric
@attribute irrk numeric
@attribute irrj numeric 
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute zeroCrossingRate numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d1 numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}

@data
0.00054004,0.4031,-0.09516,0.013731,0.00018853,0.49826,2542.5328,21.9861,626.5849,-0.00044236,0.00015165,0.00079178,0,241.3306,56.9997,0.0012598,-1.0019,2202137.97,3.77946741380362e+183,248258.6404,30.6833,38.7425,0.1559,410.8757,342.264,124.6954,0.4031,780,1294,1561,1252,34,9,-0.015946,0.24355,-0.44649,0.21585,0.23449,0.076277,0.1544,0.27018,0.31316,0.41829,human
0.00053829,0.40316,-0.17848,0.015234,0.00023207,0.58165,2830.0374,16.0078,433.2293,-0.00061425,0.00017635,0.00091143,0,346.5419,56.1832,0.0011706,-0.99021,52312225.5295,5.295972797955404e+183,238463.1443,39.5542,48.6274,0.11957,276.085,530.719,124.8117,0.40316,755,1216,1511,1264,56,6.5,0.087451,0.64629,-0.53658,0.23305,0.22212,0.070873,0.15471,0.27881,0.31672,0.41746,human
0.00053782,0.40424,-0.26455,0.019734,0.00038943,0.66879,3669.2252,9.3065,264.6348,-0.00058716,0.00016851,0.0009367,0,755.2571,56.8042,0.00093651,-0.99704,34317079.3263,4.483430572595355e+183,239564.7305,45.384,52.6897,0.11162,118.051,920.1157,124.7545,0.40424,759,1250,1519,1253,57,8.2,0.010813,-0.36209,-0.76983,0.21048,0.23439,0.070674,0.15426,0.29348,0.32389,0.41461,human
0.00049696,0.40483,-0.093779,0.014014,0.00019639,0.49861,2819.9725,20.8664,585.7271,-0.00069325,0.00012745,0.00092715,0,261.6041,55.9013,0.001313,-0.85759,2043956.9714,3.174144061742675e+183,236781.3768,32.7065,41.3766,0.14303,406.1303,364.9186,124.6335,0.40483,732,1222,1465,1242,51,6.3,0.12321,0.19136,-0.52966,0.22329,0.23353,0.07751,0.15364,0.27345,0.31451,0.41681,human
0.00053913,0.40388,-0.094143,0.013729,0.00018849,0.49802,2546.5582,22.0366,628.9536,-0.0005216,0.00017854,0.00091519,0,241.1949,56.6094,0.0012172,-1.0007,3671688.784,5.311134174014853e+183,242777.3989,32.6305,41.8819,0.13894,448.8191,336.7931,124.7778,0.40388,790,1314,1581,1246,47,9.5,-0.041185,0.25807,-0.56168,0.23603,0.22147,0.070862,0.15478,0.27918,0.31717,0.41809,human
0.00049483,0.40374,-0.096707,0.013913,0.00019356,0.50045,2811.5873,20.8749,586.7411,-0.00048542,0.00012404,0.00074595,0,242.2477,56.5409,0.0012157,-0.85968,5001656.2235,3.187280985534572e+183,246894.6744,33.2371,42.2836,0.13929,420.9452,359.4848,124.6491,0.40374,782,1306,1565,1248,38,9.5,-0.058923,0.27412,-0.53373,0.20971,0.23693,0.077913,0.15468,0.27378,0.31551,0.4189,human
0.00054061,0.41507,-0.11132,0.014637,0.00021424,0.52639,2707.4764,18.6698,515.4929,-0.00059813,0.00017568,0.00097615,0,252.1151,56.2108,0.0011895,-1.005,3719224.3419,3.780130492765813e+183,238245.6293,36.3439,45.3199,0.1313,339.0784,446.445,124.7223,0.41507,761,1236,1523,1254,56,8.3,-0.028106,0.27358,-0.39667,0.21088,0.23567,0.075632,0.15341,0.26949,0.31194,0.41654,human
0.00053983,0.40514,-0.096234,0.01378,0.00018988,0.50138,2552.589,21.9297,625.0841,-0.00051753,0.00017878,0.00083549,0,240.953,56.8111,0.0011988,-0.99948,1326628190.9804,5.315379082604697e+183,244950.6636,32.4198,41.3164,0.13816,415.8529,346.8589,124.7956,0.40514,781,1296,1563,1261,42,9.5,-0.018609,0.19823,-0.57746,0.24173,0.22092,0.071116,0.1551,0.27979,0.31777,0.41874,human
0.00053949,0.40338,-0.094728,0.013949,0.00019456,0.49811,2585.5396,21.0292,589.8962,-0.00054941,0.00013681,0.00091893,0,254.4573,56.2324,0.0011587,-1.0002,12581954.5483,5.334296930954103e+183,241712.8774,34.8238,44.905,0.13525,443.9008,352.0589,124.7794,0.40338,781,1288,1563,1263,54,7.2,-0.039056,0.14711,-0.51782,0.24159,0.22277,0.070872,0.15516,0.27962,0.31767,0.41873,human
0.00053982,0.40354,-0.094724,0.014023,0.00019665,0.49827,2597.7826,20.6156,577.629,-0.00044856,0.0001891,0.00084522,0,237.5199,57.0659,0.0011844,-1.0017,1951765.5083,3.776649971806864e+183,246030.2738,32.8609,41.5947,0.14331,408.6937,365.9007,124.7416,0.40354,759,1258,1519,1244,38,10,0.050109,0.2953,-0.53345,0.20771,0.23146,0.077588,0.15443,0.27036,0.31349,0.41875,human
0.00054025,0.40471,-0.10662,0.015169,0.00023009,0.51133,2807.7125,16.9407,437.6992,-0.00073956,0.00017205,0.0010376,0,242.2048,56.2979,0.0011045,-1.001,6505866.3266,3.778166925859536e+183,233575.054,40.1134,49.6166,0.12027,285.0778,519.86,124.7097,0.40471,767,1286,1535,1277,67,8.5,-0.097096,0.48197,-0.56317,0.24139,0.23493,0.076781,0.15465,0.27067,0.31372,0.41894,human
0.00053978,0.40421,-0.095341,0.01378,0.0001899,0.49955,2552.9476,21.8306,620.8031,-0.000423,0.00017705,0.00081105,0,237.4526,57.3984,0.0011989,-1.0002,8247992.7306,5.334162568499434e+183,248302.8026,32.262,40.9919,0.14173,405.5151,350.1312,124.7896,0.40421,755,1240,1511,1247,27,9.5,0.05058,0.16754,-0.4885,0.24505,0.21995,0.071206,0.15532,0.28,0.3181,0.41925,human
0.00054015,0.40443,-0.094363,0.014339,0.00020561,0.4988,2654.6399,19.4989,535.024,-0.00041577,0.00018359,0.00082487,0,284.3929,56.8347,0.0011792,-1.0014,39130203.1652,4.489393911343913e+183,247537.0507,33.2691,41.219,0.13891,334.4223,417.4436,124.7679,0.40443,766,1238,1533,1253,35,8.2,-0.031402,0.18291,-0.50521,0.24631,0.2262,0.073918,0.15558,0.29617,0.32749,0.41978,human
0.00050653,0.4036,-0.10022,0.014355,0.00020607,0.50382,2833.9941,19.3617,529.0951,-0.0006958,0.00015359,0.0010133,0,238.8537,55.2703,0.0011154,-0.8856,1778102.2347,1.897545140907137e+183,235616.967,33.83,42.5003,0.14521,374.9228,393.8816,124.4827,0.4036,723,1170,1447,1245,65,6.4,0.06164,0.35059,-0.63894,0.23182,0.23001,0.078774,0.15386,0.27267,0.31427,0.41706,human
0.00050599,0.40311,-0.095202,0.014176,0.00020097,0.49832,2801.6959,19.7562,541.6992,-0.00070256,0.00013693,0.00095964,0,267.7594,56.2053,0.001288,-0.88624,21874384.4265,1.603895002225145e+183,236131.3091,33.1016,41.9148,0.14305,414.7654,368.1171,124.4932,0.40311,755,1254,1511,1257,71,8.3,0.0064063,0.25483,-0.76939,0.21938,0.23076,0.081339,0.15431,0.28058,0.31927,0.41794,human
