@relation 'robocall-oneshot-weka.filters.unsupervised.attribute.Remove-R7,16,18,29,34'

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric
@attribute sstandard_deviation numeric
@attribute svariance numeric
@attribute srange numeric
@attribute sskewness numeric
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric
@attribute irrk numeric
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}

@data
0.000035,0.031938,-0.008491,0.001607,0.000003,0.040429,5.657,107.2066,-0.000814,-0.000016,0.000843,0,3.1456,56.8448,-0.050092,28800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204381.1124,49.7846,57.7216,0.012858,4.2523,72.7581,105.2886,0.031938,694,1389,1048,83,4.5,-0.043976,-0.057553,0.011542,0.016748,0.003689,0.008653,0.013402,0.016999,0.024974,robo
0.000028,0.023978,-0.00451,0.001411,0.000002,0.028488,3.7451,60.7186,-0.000778,0.000007,0.00081,0,2.3167,56.9494,-0.040381,24300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,206764.3595,51.8632,59.4636,0.00765,1.9041,66.8606,105.2863,0.023978,708,1417,1071,63,9.1,0.074315,-0.041599,0.00675,0.011494,0.003102,0.006386,0.009923,0.012619,0.018519,robo
0.000024,0.017184,-0.006262,0.001393,0.000002,0.023446,1.6865,23.0129,-0.000818,0.000005,0.000841,0,2.06,56.5896,-0.034796,8610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204747.4442,54.0477,61.0966,0.007382,0.49191,68.9068,104.9362,0.017184,694,1389,1049,72,7.7,-0.030996,-0.033049,0.011485,0.007474,0.003256,0.005289,0.008031,0.010221,0.015035,robo
0.000021,0.018336,-0.00961,0.001456,0.000002,0.027946,1.9947,28.9888,-0.000836,0.000004,0.000819,0,1.9958,56.5769,-0.029111,27600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,206126.9616,55.1917,61.8484,0.007065,0.16484,74.0603,105.2852,0.018336,699,1399,1058,76,6.5,0.023875,-0.038459,0.001778,0.008994,0.001914,0.004918,0.007598,0.009578,0.014094,robo
0.000014,0.014979,-0.005357,0.001292,0.000002,0.020336,0.84395,12.1177,-0.00081,-0.000002,0.000834,0,1.6508,56.8221,-0.020326,26000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,206102.4415,56.8507,63.1387,0.005852,0.019704,65.9225,105.2808,0.014979,692,1385,1070,70,7.7,0.033506,-0.0317,0.00804,0.006374,0.001198,0.003816,0.005922,0.007421,0.010946,robo
0.00001,0.009349,-0.004975,0.001284,0.000002,0.014324,0.28364,5.3563,-0.000793,-0.000009,0.000843,0,1.8186,56.4603,-0.012279,21900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,206364.6491,58.2718,64.0576,0.007341,-0.2853,66.9596,105.2711,0.009349,675,1351,1048,75,6.7,0.022111,-0.017724,0.002082,0.004676,0.001179,0.00247,0.003874,0.004889,0.007192,robo
-0.000005,0.011448,-0.015632,0.001488,0.000002,0.02708,-0.32208,11.1559,-0.000911,-0.000025,0.000934,0,2.5963,56.4979,-0.006483,26400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,202352.2855,59.7445,64.5683,0.008494,0.31899,78.2541,105.2796,0.011448,685,1370,1061,88,2.5,-0.039338,-0.019016,0.00218,0.002321,-0.000136,0.002271,0.00334,0.00409,0.006035,robo
-0.000012,0.004281,-0.01331,0.001352,0.000002,0.017591,-0.56338,7.4652,-0.000917,0.00001,0.000874,0,2.1483,56.307,0.018357,21500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204085.494,57.3891,63.2611,0.007256,0.08299,70.3506,105.2747,0.004281,677,1353,1053,81,5.8,0.026201,0.022397,-0.00828,-0.006422,-0.001713,-0.003987,-0.006023,-0.007617,-0.011205,robo
-0.000024,0.009297,-0.03446,0.001529,0.000002,0.043757,-5.4779,127.1495,-0.000853,-0.000043,0.000845,0,1.6295,56.5943,0.018986,23900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,205140.6348,53.2145,60.5391,0.00892,1.3971,74.14,105.2802,0.009297,693,1385,1051,79,5.8,0.024481,0.006381,-0.003278,-0.004046,-0.00189,-0.001637,-0.002544,-0.003292,-0.004899,robo
0.000069,0.2869,-0.29652,0.013254,0.000176,0.58342,-0.9016,261.6185,-0.001056,0.000051,0.001079,0.007597,375.6753,55.973,-0.15626,22000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,195510.1038,55.0147,59.6641,0.066871,14.9801,667.1043,105.2816,0.2869,643,1286,1080,94,0.8,0.68069,-0.25954,0.020693,0.045333,0.014306,0.033803,0.050068,0.06391,0.093632,robo
-0.000007,0.005216,-0.013599,0.001342,0.000002,0.018815,-0.4811,7.9952,-0.000868,-0.000004,0.000854,0,1.8609,56.7175,-0.001897,24000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,204473.3161,57.8162,63.66,0.006732,-0.27898,70.4594,105.2998,0.005216,679,1357,1053,95,0.8,0.051092,0.016977,-0.001251,-0.004155,-0.00082,-0.001537,-0.002423,-0.003052,-0.004558,robo
-0.000022,0.006755,-0.024709,0.001497,0.000002,0.031464,-2.6344,44.7808,-0.000912,-0.000044,0.000876,0,2.2029,56.5593,0.024467,23300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,203973.2561,52.9976,59.9438,0.00943,1.7529,72.9909,105.2828,0.006755,684,1367,1065,96,0.1,-0.12808,0.033074,-0.003767,-0.007366,-0.00194,-0.003782,-0.005996,-0.007601,-0.011201,robo
-0.000035,0.008442,-0.031107,0.001597,0.000003,0.039549,-4.5647,84.2782,-0.000907,-0.000001,0.000884,0,2.1813,56.7394,0.043964,30200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,203757.0963,49.9654,57.751,0.010973,3.5866,72.8769,105.2872,0.008442,680,1359,1053,90,1.6,-0.1272,0.039353,-0.00882,-0.010313,-0.003089,-0.006064,-0.009274,-0.011805,-0.017376,robo
-0.000048,0.012043,-0.044382,0.001931,0.000004,0.056424,-8.0498,172.6054,-0.00092,0.00002,0.000914,0,3.3444,56.6649,0.060587,31800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,202682.5805,46.4726,54.6418,0.012351,8.8281,81.5074,105.283,0.012043,669,1337,1028,96,8.6,0.03024,0.059128,-0.009483,-0.016272,-0.004367,-0.008871,-0.013668,-0.017384,-0.025549,robo
