@relation 'robocall-oneshot-weka.filters.unsupervised.attribute.Remove-R7,16,18,29,34'

@attribute smean numeric
@attribute smax numeric
@attribute smin numeric	
@attribute sstandard_deviation numeric
@attribute svariance numeric	
@attribute srange numeric
@attribute sCV numeric 
@attribute sskewness numeric	
@attribute skurtosis numeric
@attribute squantile25 numeric
@attribute squantile50 numeric
@attribute squantile75 numeric
@attribute smeanCrossingRate numeric
@attribute sPower numeric
@attribute sEntropy numeric	
@attribute sfrequency_ratio numeric
@attribute irrk numeric
@attribute irrj numeric 
@attribute sharpness numeric
@attribute smoothness numeric
@attribute specCentroid numeric
@attribute specStdDev numeric
@attribute specCrest numeric
@attribute specSkewness numeric
@attribute specKurt numeric
@attribute maxFreq numeric
@attribute maxMgx numeric
@attribute numPeaks numeric
@attribute zeroCrossingRate numeric
@attribute slopeChanges numeric
@attribute numInflectionPoints numeric
@attribute totalPeak numeric
@attribute silentTime numeric
@attribute d1 numeric
@attribute d2 numeric
@attribute d3 numeric
@attribute d4 numeric
@attribute d5 numeric
@attribute d6 numeric
@attribute d7 numeric
@attribute d8 numeric
@attribute d9 numeric
@attribute d10 numeric
@attribute class {robo,human}


@data
-1.8221e-05,0.1388,-0.20578,0.0065495,4.2896e-05,0.34457,-35944.8963,-9.2796,499.0401,-0.0016625,-3.8529e-05,0.0016336,0,69.822,54.217,0.0012429,0.16829,4765935.9497,1.962731136122211e+184,219483.7183,63.6917,70.7518,0.034376,17.735,432.627,125.2436,0.1388,631,1017,1262,1264,99,0.1,-0.02819,-0.17638,0.061808,-0.11342,-0.10468,-0.0309,-0.061732,-0.10117,-0.13956,-0.21637,robo
9.0784e-05,0.13482,-0.032424,0.0045082,2.0324e-05,0.16724,4965.8606,12.7712,355.9774,-0.0015347,-1.5539e-05,0.0014561,0.00039936,33.4495,54.1259,0.0016745,-0.15454,15266051.4296,1.338191517653561e+184,223125.8741,48.3882,58.9382,0.043466,60.2529,192.976,125.2091,0.13482,701,1082,1403,1289,99,0.1,0.00031837,0.077362,-0.20301,0.079551,0.069441,0.021616,0.059771,0.081631,0.10104,0.14322,robo
5.1103e-05,0.05139,-0.014276,0.0033743,1.1386e-05,0.065666,6602.9317,1.8769,29.1932,-0.0016729,-6.1419e-06,0.0017144,0,12.2233,53.8377,0.001604,-0.079225,28470962.9007,1.315231352738558e+184,219162.3411,57.0376,66.6071,0.024819,18.7014,181.7075,125.2151,0.05139,679,1030,1359,1259,99,0.1,0.0014478,-0.17789,-0.069168,0.037792,0.0183,0.010086,0.02622,0.03277,0.038482,0.052127,robo
4.7498e-05,0.17001,-0.10511,0.007752,6.0094e-05,0.27512,16320.6456,3.2074,128.0029,-0.0020535,4.5723e-05,0.0019924,0.0003992,140.2034,52.7556,0.0019011,-0.11627,99711066.0859,1.289297335380961e+184,212302.804,62.3019,69.1999,0.067187,24.276,462.4836,125.2207,0.17001,614,974,1229,1273,99,0.1,-0.00088267,0.06422,-0.16067,0.025621,0.023731,0.0061145,0.020219,0.027177,0.034826,0.049467,robo
3.6743e-05,0.027737,-0.013705,0.0028142,7.9196e-06,0.041441,7659.0942,0.64896,10.4929,-0.0014629,3.4272e-05,0.0014375,0,8.6346,54.797,0.0014009,-0.080207,1155435.2126,1.102443667252332e+184,224373.3966,64.0472,71.9598,0.017045,5.5354,172.1011,125.2202,0.027737,698,1106,1397,1265,99,0.1,0.065439,0.0078683,0.031066,0.012076,0.011688,-0.0011432,0.0057624,0.0076336,0.0080643,0.01032,robo
5.7844e-05,0.054241,-0.017483,0.0037527,1.4083e-05,0.071724,6487.7113,1.3224,23.058,-0.0017376,8.9069e-06,0.0018275,0,9.4141,53.9749,0.0018955,-0.10283,860429850.7873,1.304568399196887e+184,217410.4664,55.8757,64.3194,0.035827,22.3361,199.6102,125.2097,0.054241,673,1064,1347,1247,99,0.1,-0.0031557,0.054338,-0.21239,0.019443,0.014731,0.0040357,0.014779,0.016511,0.017659,0.021096,robo
4.6552e-05,0.050944,-0.01793,0.0029703,8.8224e-06,0.068874,6380.4752,2.5532,43.6535,-0.001495,-1.2564e-05,0.0015202,0,10.1822,55.6761,0.0013524,-0.13328,35394308.0231,9.175385283551611e+183,225010.0781,61.9389,69.8234,0.018814,7.2322,185.1386,125.223,0.050944,703,1150,1407,1274,99,0.1,0.10352,0.16935,-0.16613,0.025732,0.026487,0.008351,0.021287,0.029734,0.039546,0.057941,robo
0.00013086,0.23437,-0.054772,0.0063221,3.9969e-05,0.28914,4831.1424,22.2136,798.9314,-0.0015483,5.4119e-05,0.0015806,0.00039936,4.9971,54.2378,0.0012527,-0.0921,131617972.7093,1.854773488094847e+184,222406.846,52.1878,61.8935,0.044679,56.8452,327.7459,125.2213,0.23437,670,1073,1341,1263,99,0.1,0.032032,0.098875,0.17412,-0.010872,-0.002893,0.0013476,0.029474,0.02065,0.012451,-0.0027323,robo
0.00010681,0.23592,-0.055037,0.0061562,3.7898e-05,0.29095,5763.7848,24.218,907.7242,-0.0013556,-3.4214e-05,0.0014483,0.0003992,86.7279,54.0289,0.001179,-0.29745,22685645.9026,1.352276075268435e+184,225163.2137,55.3008,64.5804,0.037603,39.9837,352.7731,125.2172,0.23592,668,1055,1336,1256,99,0.1,0.061219,-0.0057856,-0.28472,0.13123,0.12089,0.035918,0.084832,0.12681,0.16347,0.24285,robo
1.3683e-05,0.02965,-0.035127,0.0025798,6.6554e-06,0.064777,18854.6947,-0.48089,25.4634,-0.0012649,8.9551e-06,0.0012659,0,6.9225,54.5338,0.0013174,-0.021472,9666169.2342,1.15176037326074e+184,228308.6587,63.8685,70.2871,0.018354,7.1467,157.4331,125.2176,0.02965,685,1081,1370,1264,98,0.1,-0.032284,-0.060296,0.16068,-0.021084,-0.020896,-0.0067784,-0.01178,-0.019812,-0.026545,-0.041483,robo
